アイオピジン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイオピジン,アイオピジン,アイオピジン,4/6,*,あ[いおぴ]じん
曖気,1348,1348,8000,名詞,固有名詞,一般,*,*,*,曖気,アイキ,アイキ,1/3,*,あ]いき
アイケア,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイケア,アイケア,アイケア,0/4,*,あ[いけあ
相異な,1348,1348,8000,名詞,固有名詞,一般,*,*,*,相異な,アイコトナ,アイコトナ,3/5,*,あ[いこ]とな
アイスデン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイスデン,アイスデン,アイスデン,3/5,*,あ[いす]でん
アイスフラット,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイスフラット,アイスフラット,アイスフラット,4/7,*,あ[いすふら]っと
アイセミン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイセミン,アイセミン,アイセミン,3/5,*,あ[いせ]みん
アイセミン錠,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイセミン錠,アイセミンジョウ,アイセミンジョウ,7/7,*,あ[いせみん[じ]ヨう
アイセル病,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイセル病,アイセルビョウ,アイセルビョウ,4/6,*,あ[いせるび]ヨう
アイソボリン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイソボリン,アイソボリン,アイソボリン,4/6,*,あ[いそぼ]りん
アイソボリン注,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイソボリン注,アイソボリンチュウ,アイソボリンチュウ,8/8,*,あ[いそぼりん[ち]ユう
アイタント,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイタント,アイタント,アイタント,3/5,*,あ[いた]んと
アイデイト,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイデイト,アイデイト,アイデイト,3/5,*,あ[いで]いと
アイテル,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイテル,アイテル,アイテル,0/4,*,あ[いてる
アイドロイチン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイドロイチン,アイドロイチン,アイドロイチン,5/7,*,あ[いどろい]ちん
アイドロイチン点眼液,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイドロイチン点眼液,アイドロイチンテンガンエキ,アイドロイチンテンガンエキ,11/13,*,あ[いどろいちんてんがん]えき
曖昧模糊,1348,1348,8000,名詞,固有名詞,一般,*,*,*,曖昧模糊,アイマイモコ,アイマイモコ,4/6,*,あ[いまい]もこ
アイラックス,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイラックス,アイラックス,アイラックス,2/6,*,あ[いら]っくす
アイロゾン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイロゾン,アイロゾン,アイロゾン,3/5,*,あ[いろ]ぞん
アイロタイシン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイロタイシン,アイロタイシン,アイロタイシン,5/7,*,あ[いろたい]しん
アイロミア,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイロミア,アイロミア,アイロミア,3/5,*,あ[いろ]みあ
アイロミア錠,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイロミア錠,アイロミアジョウ,アイロミアジョウ,7/7,*,あ[いろみあ[じ]ヨう
アインソフト,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アインソフト,アインソフト,アインソフト,4/6,*,あ[いんそ]ふと
アイン軟膏,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アイン軟膏,アインナンコウ,アインナンコウ,5/7,*,あ[いんなん]こう
敢えて言,1348,1348,8000,名詞,固有名詞,一般,*,*,*,敢えて言,アエテイ,アエテイ,0/4,*,あ[えてい
アエレックス,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アエレックス,アエレックス,アエレックス,2/6,*,あ[えれ]っくす
葵ビル,1348,1348,8000,名詞,固有名詞,一般,*,*,*,葵ビル,アオイビル,アオイビル,3/5,*,あ[おい]びる
亜黄疸,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜黄疸,アオウダン,アオウダン,3/5,*,あ[おう]だん
アオハブ,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アオハブ,アオハブ,アオハブ,2/4,*,あ[お]はぶ
亜界,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜界,アカイ,アカイ,0/3,*,あ[かい
明石標準時,1348,1348,8000,名詞,固有名詞,一般,*,*,*,明石標準時,アカシヒョウジュンジ,アカシヒョウジュンジ,6/8,*,あ[かしひヨうじユ]んじ
上がって,1348,1348,8000,名詞,固有名詞,一般,*,*,*,上がって,アガッテ,アガッテ,0/4,*,あ[がって
アカメガシワエキス,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アカメガシワエキス,アカメガシワエキス,アカメガシワエキス,7/9,*,あ[かめがしわえ]きす
無弛緩症,1348,1348,8000,名詞,固有名詞,一般,*,*,*,無弛緩症,アカラジア,アカラジア,3/5,*,あ[から]じあ
アガリット,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アガリット,アガリット,アガリット,2/5,*,あ[がり]っと
上がりま,1348,1348,8000,名詞,固有名詞,一般,*,*,*,上がりま,アガリマ,アガリマ,0/4,*,あ[がりま
アカルディ,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アカルディ,アカルディ,アカルディ,0/4,*,あ[かるでイ
アキセチル,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アキセチル,アキセチル,アキセチル,3/5,*,あ[きせ]ちる
明孝,1348,1348,8000,名詞,固有名詞,一般,*,*,*,明孝,アキタカ,アキタカ,2/4,*,あ[き]たか
アキネトン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アキネトン,アキネトン,アキネトン,3/5,*,あ[きね]とん
アキュソン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アキュソン,アキュソン,アキュソン,0/4,*,あ[きユそん
阿膠鶏子黄湯,1348,1348,8000,名詞,固有名詞,一般,*,*,*,阿膠鶏子黄湯,アキョウケイシオウトウ,アキョウケイシオウトウ,0/10,*,あ[きヨうけいしおうとう
アキリデン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アキリデン,アキリデン,アキリデン,3/5,*,あ[きり]でん
アクアスチン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アクアスチン,アクアスチン,アクアスチン,4/6,*,あ[くあす]ちん
アクアスチン液,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アクアスチン液,アクアスチンエキ,アクアスチンエキ,6/8,*,あ[くあすちん]えき
アクアチム,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アクアチム,アクアチム,アクアチム,3/5,*,あ[くあ]ちむ
悪液質性,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪液質性,アクエキシツセイ,アクエキシツセイ,0/8,*,あ[くえきしつせい
悪液性,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪液性,アクエキセイ,アクエキセイ,4/6,*,あ[くえき]せい
悪逆無道,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪逆無道,アクギャクムドウ,アクギャクムドウ,5/7,*,あ[くぎヤくむ]どう
悪性高熱,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪性高熱,アクセイコウネツ,アクセイコウネツ,6/8,*,あ[くせいこう]ねつ
悪性新生物,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪性新生物,アクセイシンセイブツ,アクセイシンセイブツ,8/10,*,あ[くせいしんせい]ぶつ
悪性腺腫,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪性腺腫,アクセイセンシュ,アクセイセンシュ,0/7,*,あ[くせいせんしユ
悪性像,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪性像,アクセイゾウ,アクセイゾウ,4/6,*,あ[くせい]ぞう
悪性膿疱,1348,1348,8000,名詞,固有名詞,一般,*,*,*,悪性膿疱,アクセイノウホウ,アクセイノウホウ,6/8,*,あ[くせいのう]ほう
握雪音,1348,1348,8000,名詞,固有名詞,一般,*,*,*,握雪音,アクセツオン,アクセツオン,4/6,*,あ[くせつ]おん
アクセノン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アクセノン,アクセノン,アクセノン,3/5,*,あ[くせ]のん
アクタミン,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アクタミン,アクタミン,アクタミン,3/5,*,あ[くた]みん
アクチオス,1348,1348,8000,名詞,固有名詞,一般,*,*,*,アクチオス,アクチオス,アクチオス,3/5,*,あ[くち]おす
